Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Work,90663,Ślokaśatārtha on Ratnaprabhā's Ratnākarāvatārikā and autocommentary,,,85774,Jina Maṇīkya Gaṇi,,89739,Ratnākarāvatārikā on Vādideva's Pramāṇanayatattvāloka,,
Work,111713,Ślokāvalīḥ,,,,,Dharmaśāstra,,,,
Work,88597,Ślokavārttika,,,85206,Kumārila,,88312,Śābarabhāṣya,,
Work,88991,Ślokavārttika on Umāsvāti's Tattvārthasūtra,,,85299,Vidyānanda,,88308,Tattvārthādhigamasūtra and Bhāṣya,,
Work,41746,Ślokavārttikavyākhyāna,,,40788,Rājarudra,,41543,Mahābhāṣya,,
Work,112317,Ślokavyākhyā,,,112316,Satkavi,,,,,
Work,88073,Smaller Sukhāvatīvyūhasūtra,Amitāyus Sūtra,,,,,,,150,150
Work,41578,Smārtasamuccaya,,,40628,Nanda,,,,1500,1500
Person,87776,Smṛtijñāna Tīrtha,,,,,,,,,
Work,41263,Smṛtikaustubha,,,40338,Anantadeva II,Dharmaśāstra,,,,
Work,41357,Smṛtiprakāśa,,,40416,Bhāskara,,,,,
Work,91773,Smṛtisaṃskāravādavīci,,,86103,Harirāma Tarkavāgīśa,Nyāya,,,,
Work,41712,Smṛtisiddhāntasudhā,,,40733,Rāmacandrabudha,,41710,Aghapañcaṣaṣṭḥi,,
Work,41565,Smṛtisindhu,,,40628,Nanda,Dharmaśāstra,,,1500,1500
Work,109999,Smṛtitattva,Aṣṭāviṃśatitattva,,109998,Raghunandana,Dharmaśāstra,,,1550,1550
Work,109780,Smṛtiviveka,,,109778,Śūlapāṇi,Dharmaśāstra,,,,
Work,89807,Smrtyadhikaraṇa,,,85521,Murāri Miśra,,,,,
Work,88393,Smṛtyupasthānasūtra,(Saddharma)Smṛtyupasthānasūtra,,,,,,,492,492
Work,114910,Snānakathā,,,,,Buddhism (general),,,,
Work,42269,Snāyurogacikitsā,,,,,Vaidyaśāstra,,,,
Person,108964,Śobhākareśvaramitra,Śobhākara,,,,,,,1200,1200
Person,99371,Śobhana,,"Brāhmaṇa, Jaina, Kāśyapa",,,,,,990,945
Person,87047,S. Sobhani,,,,,,,,1998,1998
Person,44731,Śobhūṛṣi,,,,,,,,,
Work,116226,Ṣodaśabhuja mahākālasādhana,,,,,Buddhism (general),,,,
Work,88781,Ṣoḍaśakaprakaraṇa,,,85238,Haribhadra Sūri,Jainism (general),,,,
Work,112084,Ṣoḍaśakārikāvyākhyā,,,,,Vyākaraṇa,,,,
Work,91187,Ṣoḍaśakī,Gurutattvapradīpakadīpikā on Haribhadra's  Sodasakaprakarana,,85936,Dharmasāgara,,,,,
Work,107365,Ṣoḍaśākṣaracakraphala,,,,,Jyotiḥśāstra,,,,
Work,103449,Ṣoḍaśamañjarīkā,,,85218,Śaṃkara,Advaita Vedānta,,,,
Work,107366,Ṣoḍaśamuhūrta,,,,,Jyotiḥśāstra,,,,
Work,108529,Ṣoḍaśapaddhati,Vārāhaṣoḍaśapaddhati,,,,Jyotiḥśāstra,,,,
Work,109520,Ṣoḍaśāyudhastotra,,,85613,Vedāntadeśika,Viśiṣṭādvaita Vedānta,,,,
Work,93429,Ṣoḍaśī,,,86471,Jayatīrthācārya,Dvaita Vedānta,,,,
Person,40845,Soḍhala,,,,,,,,,
Work,41929,Soḍhalapaddhati,,,40845,Soḍhala,Vaidyaśāstra,,,,
Work,104788,Śodhanavidhi,,,,,Vaidyaśāstra,,,,
Work,93889,Śodhanī,Dīpikā vs. Śaṃkara's Brahmasūtrabhāṣya,,86631,Appaya,Anubhavādvaita,88641,Brahmasūtrabhāṣya,,
Work,93732,Sodhanī on Udayana's Nyāyakusumāñjalī,,,86580,Gaṅgādhara Kaviratna Kavirāja,,89093,Nyāyakusumāñjali,,
Person,86625,Sokattur Vijayarāghavācārya,,,,,,,,1890,1890
Person,114038,Soma,,Ācārya,,,,,,1330,1330
Person,85700,Somacandra,,,,,,,,1421,1421
Person,87777,Somadeva,,,,,,,,,
Person,109672,Somadeva,,,,,,,,1350,1100
Person,113998,Somadeva,,Bhaṭṭa,,,,,,1080,1060
Person,85834,Somadeva Sūri,,Sūri,,,,,,1516,1516
Person,102252,Somadeva Sūri,,,,,,,,966,959
Person,85728,Somadharma Gaṇi,,Gaṇi,,,,,,1447,1447
Person,85285,Somānanda,,"Śaiva, Tryambaka",,,,,,900,900
Person,40285,Somanātha,Somanātha Dīkṣita,"Dīkṣita, Niṭṭala, Sarvatomukhayajvan",,,,,,1640,1640
Person,86579,Somanātha Vyāsa,,Vyāsa,,,,,,1869,1869
Work,107221,Sōmanāthacāritra,Sōmanāthacarite,,107220,Rāghavāṅka,"Kāvya, Śaivism (general)",,,1200,1200
Person,85505,Somaprabha,,,,,,,,1200,1200
Person,87778,Somaprabhācārya,,,,,,,,,
Person,40592,Somaśekhara,,,,,,,,,
Person,86045,Somasena,,,,,,,,1612,1612
Work,107370,Somasiddhānta,,,,,Jyotiḥśāstra,,,1400,1400
Person,85673,Somasundara,Somasundara (Sūri),Sūri,,,,,,1395,1395
Person,85621,Somatilaka Sūri,,Sūri,,,,,,1338,1338
Work,114669,Somavāra vrata pūjā vidhi,,,,,Hinduism (general),,,,
Person,87779,Somavimala Sūri,,Sūri,,,,,,,
Person,41214,Someśvara,,Krama,,,,,,1050,1050
Person,87780,Someśvara,,,,,,,,,
Person,85542,Someśvara Bhaṭṭa,,Bhaṭṭa,,,,,,1250,1250
Person,108880,Someśvara Bhaṭṭa,,"Bhāradvāja, Bhaṭṭa",,,,,,1150,1150
Person,100985,Somnātha,,,,,,,,,
Person,85510,Sondāḍa,,,,,,,,1200,1200
Person,40330,Sonodevī,,,,,,,,1450,1450
Work,103892,Sopānapañcaratna,,,85218,Śaṃkara,Advaita Vedānta,,,,
