Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Work,94687,1 Edited e441.1.20,,,87051,Suddhānanda Pathak,,,,,
Work,94401,1.2 Edited Ajmer 2008,,,86875,Bhagīratha Maithili Jhā,,,,,
Work,89073,"3 Edited and translated in Raffaele Torella, ""The Svabodhodayamañjarī, orhow to suppress the mind with no effort"", Haranandalahari 387-410",,,,,,,,,
Work,92233,73.2 Mānameyodaya,,,86182,Nārāyaṇa,,,,,
Work,113790,Aaryatārā Śatanāmṣṭasataka,,,,,,,,,
Work,95433,Ābdamālikā,,,87684,Raṅgācārya of Kauśikagotra,Viśiṣṭādvaita Vedānta,,,,
Work,105236,Abdaprabodha,Bhojadevasaṅgraha,,,,Jyotiḥśāstra,,,,
Work,92271,Abhāvādhikaraṇavāda,,,86189,Gadādhara Bhaṭṭācārya,,,,,
Work,93781,Abhāvapadārthakhaṇḍana,,,86595,Śivacandra,,,,,
Work,93812,Abhāvarahasya,,,86611,Uddhavasiṃha,Nyāya,,,,
Work,93218,Abhāvavāda,,,86419,Dāmodara,Nyāya,,,,
Work,94646,Abhāvavimarśa,,,87017,Dīpaka Hoṣa,Nyāya,,,,
Person,85575,Abhayacandra,Abhayacandra (Siddhānta) Cakravartin,Siddhānta,,,,,,1290,1290
Person,85384,Abhayadeva Sūri,,Sūri,,,,,,1080,1080
Person,115892,Abhayākara Gupta,,,,,,,,,
Person,85411,Abhayākaragupta,,,,,,,,1109,1109
Work,115574,Abhayakāri dhāraṇī,,,,,Buddhism (general),,,,
Work,89572,Abhayamātratattvasāra,,,85454,Gorakṣanātha,Yoga,,,,
Work,116294,Abhayaṃkarī dhāraṇī,,,,,Buddhism (general),,,,
Work,115469,Abhayaṃkarīnāma-dhāraṇī,,,,,Buddhism (general),,,,
Work,90168,Abhayapradānasāra,,,85613,Vedāntadeśika,,,,,
Person,98122,Abhayarāmabhaṭa,Abhayarāmabhaṭṭa,,,,,,,,
Person,85557,Abhayatilaka,"Abhayatilaka (Upādhyāya), Abhayatilakagaṇi",Upādhyāya,,,,,,1256,1256
Person,87040,Abheda Nanda Bhaṭṭācārya,,Bhaṭṭācārya,,,,,,1994,1994
Person,87057,Abheda Upādhyāya,,Upādhyāya,,,,,,,
Work,95510,Abhedakārikā,Abhedārthakārikā,,87752,Siddhanātha,Kashmir Śaivism,,,,
Work,90307,Abhedakhaṇḍana,,,85637,Kumāra Vedānta Deśika,Viśiṣṭādvaita Vedānta,,,,
Work,94132,Abhedakhaṇḍana,,,86739,Prativādibhayaṅkar Anantācārya,,,,,
Work,95140,Abhedamaṇḍana,,,87433,Kṛṣṇa Śāstrin,Advaita + Vyākaraṇa,,,,
Work,95248,Abhidhamma Sammohavinodinī,,,87523,Ñānakitti,,,,,
Work,89450,Abhidhammatthasaṅgaha,,,85413,Anuruddha,Abhidharma / Theravāda,,,,
Work,88339,Abhidhammāvatāra,,,85136,Buddhadatta,Abhidharma / Theravāda,,,,
Work,113083,Abhidhānacintāmaṇi,Abhidhānacintāmaṇināmamālā,,85489,Hemacandra,Kośaśāstra,,,,
Work,41887,Abhidhānakāmadhenu,,,,,,,,,
Work,42352,Abhidhānamañjarī,,,40970,Bhiṣagārya,Vaidyaśāstra,,,,
Work,42024,Abhidhānaratnamālā,,,,,,,,,
Work,109579,Abhidhānaratnamālā,"Halāyudha-kośa, Halāyudha-nāmamālā",,109577,Bhaṭṭa Halāyudha,Kośaśāstra,,,950,950
Work,41771,Abhidhānaratnamālā ṭīkā,,,,,Vaidyaśāstra,,,,
Work,109044,Abhidhānaviveka,,,108972,Ratnadhara,Vyākaraṇa,,,,
Work,114705,Abhidhānottarottarānāmamahātantrarāja,Abhidhānottara-tantra,,,,Tantra,,,,
Work,88034,Abhidharmahṛdaya,,,85086,Dharmaśrī,,,,,
Work,88240,Abhidharmakośa and Bhāṣya thereon,,,85127,Vasubandhu,Sautrāntika / Buddhist Logic,,,,
Work,88067,Abhidharmāmṛta,,,85096,Ghoṣaka,Sarvāstivāda and Vaibhāṣika,,,,
Work,88527,Abhidharma(pra)dīpa and Vibhāṣāprabhāvṛtti thereon,,,85181,Vimalamitra,Sarvāstivāda and Vaibhāṣika,,,,
Work,95810,Abhidharmaprakaraṇabhāṣya,,,,,,,,,
Work,88229,Abhidharmasaṃgītiśāstra,,,85125,Asaṅga,Yogācāra / Vijñānavāda,,,,
Work,88230,Abhidharmasamuccaya,,,85125,Asaṅga,Yogācāra / Vijñānavāda,,,,
Work,95811,Abhidharmaskandhapadaśāstra,,,,,,,,,
Work,88358,Abhidharmāvatāra,,,85143,Skandhila,Sarvāstivāda and Vaibhāṣika,,,,
Work,88933,Abhidhāvṛttamātṛkā,Abhidhāvṛttimātṛkā,,85283,Mukula,Alaṃkāraśāstra,,,,
Work,96246,Abhijñānaśakuntala,"Śākuntala, Abhijñānaśakuntalā",,40377,Kālidāsa,"Kāvya, Nāṭya",,,,
Work,97236,Abhijñānaśakuntalacarcā,,,,,"Kāvya, Nāṭya",96246,Abhijñānaśakuntala,1450,1450
Work,96385,Abhijñānaśākuntalasañjīvanaṭippaṇa,"Sañjīvanaṭippaṇa, Abhijñānaśākuntalasañjīvana",,41110,Ghanaśyāma,Nāṭya,96246,Abhijñānaśakuntala,1750,1750
Work,96247,Abhijñānaśakuntalaṭīkā,,,96241,Pūrṇasarasvatī,"Kāvya, Nāṭya",96246,Abhijñānaśakuntala,,
Work,115879,Abhimantra-phala-siddhidāyanivajrajognidharī-nairātmā-guhyêsva(!)ri-mantra-dhārani(!)-mā(?)mantrātra,,,,,Buddhism (general),,,,
Work,115621,Abhimantra-phale-siddhi-dāyini vajrayogini nairātmya guhyeśvari mantra dhāraṇī,,,,,Buddhism (general),,,,
Person,96327,Abhinanda,,,,,,,,,
Person,109728,Abhinanda,Gauḍābhinanda,"Bhāradvāja, Brāhmaṇa, Gauḍa",,,,,,870,870
Person,85567,Abhinanda Tarkavāgīśa,,,,,,,,1280,1280
Person,86508,Abhinava Cārukīrti,,Abhinava,,,,,,1845,1845
Person,86942,Abhinava Raṅganātha Parakalayati,,Abhinava,,,,,,1960,1960
Person,86401,Abhinava Sītarāma Brahmendra,,Abhinava,,,,,,1770,1770
Work,96361,Abhinavabhāratī,Nāṭyavedavivṛti,,85352,Abhinavagupta,Nāṭyaśāstra,,,,
Work,93322,Abhinavabhaṣya on Patañjali`s Yogasūtras,,,86443,Bhavadeva,,,,,
Work,92341,Abhinavacandrikā,Tattvaprakāśikāvyākhayā,,86199,Satyanātha Yati,,90343,Tattvaprakāśikā,,
Work,41434,Abhinavacintāmaṇi,,,40492,Cakrapāṇidāsa,Vaidyaśāstra,,,1799,1799
Work,92336,Abhinavagadā,Abhinavagā,,86199,Satyanātha Yati,Dvaita Vedānta,,,,
Person,85352,Abhinavagupta,,"Ācārya, Ardhatryambakamaṭha, Brāhmaṇa, Kaula, Krama, Non-dual Śaivism, Śaiva, Śākta, Trika",,,,,,1014,1014
Work,41226,Abhinavakarṇāmṛta,,,40235,Aṇṇaya,,,,,
Work,92340,Abhinavāmṛta,,,86199,Satyanātha Yati,,90354,Pramāṇapaddhati,,
Work,92662,Abhinavaparimala,,,86270,Vanamālimiśra,Dvaita Vedānta,,,,
Work,94360,Abhinavarājalakṣmī on Īśvarakṛṣṇa's Sāṃkhyakārikās,,,86860,Guru Prasāda Śāstrin,,88213,Sāṅkhyakārikā,,
Work,94498,Abhinavarājalakṣmī on Īśvarakṛṣṇa's Sāṃkhyakārikās,,,86922,Sītā Rāma Śāstrin,,88213,Sāṅkhyakārikā,,
Work,92337,Abhinavatarkatāṇḍava,,,86199,Satyanātha Yati,Dvaita Vedānta,,,,
Work,108761,Abhinavaveṇīsaṃharaṇa,,,40304,Kapilendradeva Gajapati,,,,,
Work,90454,Abhinavavṛtti on Devagupta Sūri's Navapadaprakaraṇa,,,85675,Devendra Sūri,,89181,Navapadaprakaraṇa and Śrāvakanandī thereon,,
Work,93654,Abhinnanimitta,,,86561,Anantācārya,Viśiṣṭādvaita Vedānta,,,,
Work,41779,Abhinyāsakālajñāna,,,,,,,,,
Work,89820,Abhiprāyaprakāśikā on Maṇḍana Miśra's Brahmasiddhi,,,85525,Citsukha,,88611,Brahmasiddhi,,
Work,89192,Abhisamayahṛdaya,,,85358,Jñānaśrīmitra,,,,,
Work,88231,Abhisamayālaṃkāra,,,85125,Asaṅga,Prajñāpāramitā,,,,
Work,88540,Abhisamayālaṃkāvārttika,,,85188,Bhadanta Vimuktisena,,88231,Abhisamayālaṃkāra,,
Work,115650,Abhisamayālaṅkāra,Abhisamayālaṅkāra-prajñā-pāramitôpadeśa-śāstra,,115366,Ratnākaraśānti,Buddhism (general),115003,Prajñāpāramitāhṛdaya,,
Work,88449,Abhisamayapañjikā,,,85163,Kambala,,,,,
Work,110684,Abhiṣekamantra,,,,,Dharmaśāstra,,,,
Work,109512,Abhītistava,,,85613,Vedāntadeśika,Viśiṣṭādvaita Vedānta,,,,
Work,92540,Ābhoga on Amalānanda's Vedāntakalpataru,,,86225,Lakṣmī Nṛsiṃha,,89903,Vedāntakalpataru,,
Work,114323,Abhrachāyā,Mūlodāhāraṇa,,,,Jyotiḥśāstra,,,,
Work,42167,Abhrakabhasmavidhāna,,,,,Vaidyaśāstra,,,,
Work,105099,Abhrakādisattvapātanavidhi,,,,,Vaidyaśāstra,,,,
Work,42407,Abhrakasattva,,,,,Vaidyaśāstra,,,,
Work,104784,Abhrakaśodhanamāraṇāmṛtīkaraṇavidhi,,,,,Vaidyaśāstra,,,,
Work,42052,Abhrakayoga,,,,,,,,,
Work,110647,Abhuktamūlalakṣaṇa,,,110646,Vṛddhavasiṣṭha,Jyotiḥśāstra,,,,
Work,114327,Abhyudayikaśrāddhaprayoga,,,,,Dharmaśāstra,,,,
Work,95813,Abuddhabodhaka,,,,,Madhyamaka,,,,
Person,86331,Acala Upādhyāya,,Upādhyāya,,,,,,1750,1750
Work,113397,Acalābhiśeka,,,,,"Buddhism (general), Dharmaśāstra",,,,
Work,113559,Acalābhiṣeka maṇḍala darśana vidhi,,,,,"Buddhism (general), Dharmaśāstra",,,,
Work,90491,Acalamatanirākaraṇa,"Mukhavastrikā, Vāsantikādiprakaraṇa",,85694,Guṇaratna Sūri,,,,,
Work,115798,Acalasādhana,,,,,Buddhism (general),,,,
Work,41225,Acalātmajāpariṇayamu,,,40232,Veṅkaṭa,,,,,
Work,114325,Ācamyaprāṇanāyamya,,,,,Tantra,,,,
Work,111673,Acāra Pradīpa Sandhyā Vidhi,,,111670,Bhaṭṭa Nāga Deva,,,,,
Work,41260,Ācāracintāmaṇi,,,40307,Godāvaramiśra,,,,,
Work,110696,Ācārādarśa,,,109961,Śrīdatta,Dharmaśāstra,,,1275,1275
Work,112741,Ācārādarśapaddhatiarpaṇa,,,,,Dharmaśāstra,,,,
Work,90622,Ācāradinakara,,,85756,Vārdhamāna Sūri,,,,,
Work,88489,Ācārāṅganiryukti,,,85169,Bhadrabāhu,,,,,
Work,110801,Ācārāṅgasūtra,Āyāraṃga-sutta,,,,Jainism (general),,,,
Work,90614,Ācārapradīpa,,,85751,Ratnaśekhara Sūri,,,,,
Work,114737,Ācāraratna,Ācārasāra,,114736,Lakṣmaṇa Bhaṭṭa,Dharmaśāstra,,,,
Work,114339,Ācārārkaprakāśa,"Pūjāvidhānācārārkaprakāśa, Dharmaśāstrasudhānidhi",,114338,Divākara  Bhaṭṭa,Dharmaśāstra,,,,
Work,114328,Ācārātprāpyate svarga,,,,,Hinduism (general),,,,
Work,114330,Ācārendu,,,114329,Tryambaka Māṭe,Dharmaśāstra,,,1838,1838
Work,41654,Ācārenduśekhara,,,40667,Nāgeśabhaṭṭa,Dharmaśāstra,,,1650,1650
Work,90334,Ācāropadeśa,,,85645,Cāritrasundara Gaṇi,,,,,
Person,86487,Ācārya Rāya Modaka,"Acyuta Śarman, Acyutarāya Modak","Ācārya, Acyuta, Rāya, Śarman",,,,,,1825,1825
Person,115019,Ācārya Sarvvānanda,,,,,,,,,
Work,113658,Ācāryābhiṣeka pujā vidhi,,,,,,,,,
Work,95098,Ācāryacaritraratnāvalī,,,87396,Kavitārkikasiṃhācārya,Viśiṣṭādvaita Vedānta,,,,
Work,90921,Ācāryahṛdaya,,,85868,Raṅgarāja Yajvan,Viśiṣṭādvaita Vedānta,,,,
Work,90808,Ācāryakārikā,,,85845,Vallabha,,,,,
Work,91749,Ācāryamatarahasya,,,86103,Harirāma Tarkavāgīśa,Nyāya,,,,
Work,93397,Ācāryaniṣṭhavicāra,,,86459,Pādukāsevaka Rāmānuja Yati,,95999,Īśā(vāsya)upaniṣad,,
Work,94636,Ācāryapañcasat on Bādarāyaṇa's Brahmasūtras,,,87009,Siṃhadāsa,,88037,Brahmasūtra,,
Work,91320,Ācāryaviṃśati,,,85975,Mahācārya,,,,,
Work,41227,Ācāryaviṃśatistotra,,,40235,Aṇṇaya,,,,,
Person,41071,Āccāndīkṣīta,,Narasiṃha,,,,,,1529,1509
Person,99396,Accuta,"Acyuta, Accutaṉ",,,,,,,1550,1550
Person,108758,Achyuta Pisharoti,Acyuta Piśāraṭi,,,,,,,1621,1550
Work,88472,Acintyaguṇasarvabuddhaparigrahasūtra,,,,,,,,544,544
Person,87058,Acyuta,,Acyuta,,,,,,,
Person,96566,Acyuta,,,,,,,,1542,1530
Person,102285,Acyuta Piṣāraṭi,,,,,,,,1621,1550
Person,87059,Acyutānanda,,,,,,,,,
Person,110817,Acyutānanda,,Brāhmaṇa,,,,,,,
Person,86555,Acyutāśrama Bhikṣu,,Bhikṣu,,,,,,1855,1855
Work,114333,Acyutāṣṭaka,,,,,Hinduism (general),,,,
Work,93627,Ādarśa on Vādideva's Pramāṇapaddhati,,,86539,Hulugi Narasiṃhācārya,,90354,Pramāṇapaddhati,,
Work,94023,Ādarśita on Gadādhara's Śaktivāda,,,86673,Sudarśanācārya Pañjabi,,92257,Śaktivādavicāra,,
Work,94026,Ādarśita on Gadādhara's Vyutpattivāda,,,86673,Sudarśanācārya Pañjabi,,92261,Vyutpattivāda,,
Work,105288,Adbhutadarpaṇa,,,,,Jyotiḥśāstra,,,,
Work,105298,Adbhutadarpaṇa,,,,,Jyotiḥśāstra,,,,
Work,105285,Adbhutārṇava,,,,,Jyotiḥśāstra,,,,
Work,105279,Adbhutasāgara,,,"108570, 108591","Ballālasena, Lakṣmaṇasena",Jyotiḥśāstra,,,,
Work,105319,Adbhutasāgara,Adbh[u]tasāgara,,,,Jyotiḥśāstra,,,,
Work,111544,Adbhutasāgara,,,111543,Madotrālasena deva,Jyotiḥśāstra,,,,
Work,114335,Adbhutaśānti,,,114370,Baudhāyana,Dharmaśāstra,,,,
Work,105311,Adbhutaśubhāśubhajñāna,,,,,Jyotiḥśāstra,,,,
Person,41024,Ādenna,,"Brāhmaṇa, Rāvinūtula, Vaiṣṇava",,,,,,,
Work,94956,Ādeśakaumudīkhaṇḍana,,,87271,Gopālācārya,Vedānta (general),,,,
Work,91402,Ādeśamālā,,,85997,Rāmācārya,Dvaita Vedānta,,,,
Work,105207,Ādeśapraśna,,,108649,Dāmodara,Jyotiḥśāstra,,,,
Person,111142,Āḍhamalla,,,,,,,,1400,1300
Work,114336,Ādhānahautra,,,,,Hinduism (general),,,,
Work,112988,Ādhānapaddhati,,,,,Veda,,,,
Work,114340,Ādhānaprayoga,"Ādhānapaddhati prayoga, Agnyādhānapaddhati prayoga",,114337,Satyāṣāḍha,Hinduism (general),,,,
Work,41756,Ādhānaprayoga,,,40338,Anantadeva II,,,,,
Work,95409,Adhidīdhitibhāvārtha,,,87660,Rāmakṛṣṇa Paṇḍita,Nyāya,,,,
Work,105323,Adhikamāsavarṇana,,,,,Jyotiḥśāstra,,,,
Work,89817,Adhikāramañjarī,,,85525,Citsukha,,88037,Brahmasūtra,,
Work,92677,Adhikaraṇacandrikā,,,40338,Anantadeva II,,,,,
Work,91722,Adhikaraṇacandrikā on Jaimini's Mīmāṃsāsūtras,,,86092,Rudra Bhaṭṭācārya,,88036,Mīmāṃsāsūtras,,
Work,94423,Adhikaraṇacatuṣṭayī,,,86885,Kṛṣṇa Śāstrin Karuṅgalam,Advaita Vedānta,,,,
Work,90308,Adhikaraṇacintāmaṇi on Vedānta Deśika's Adhikaraṇasārāvalī,,,85637,Kumāra Vedānta Deśika,,90170,Adhikaraṇasārāvalī,,
Work,41259,Adhikaraṇadarpaṇa,,,40307,Godāvaramiśra,,,,,
Work,92072,Adhikaraṇadarśa,,,86137,Bābadeva,Bhāṭṭa Mīmāṃsā + Mīmāṃsā,,,,
Work,91358,Adhikaraṇadīpikā and Vyākhyā thereon,,,85981,Kastūri,,,,,
Work,93890,Adhikaraṇakañcukā on Dakṣiṇāmūrti's Brahmasūtravṛtti,,,86631,Appaya,,93712,Vṛtti on Bādarāyaṇa's Brahmasūtras,,
Work,90916,Adhikaraṇakaumudī,,,85866,Devanātha Ṭhakkura Tarkapañcānana,Prābhākara Mīmāṃsā + Mīmāṃsā,,,,
Work,95407,Adhikaraṇakaumudī,,,87658,Rāmakṛṣṇa,Mīmāṃsā,,,,
Work,114345,Adhikaraṇamālā,,,40776,Bhāratītīrtha,Vedānta (general),,,,
Work,90702,Adhikaraṇamālā,,,85799,Govinda Ṭhakkura,Mīmāṃsā,,,,
Work,94887,Adhikaraṇamālā,,,87224,Devarāma Bhaṭṭa,Vedānta (general),,,,
Work,97103,Adhikaraṇamālā,"Vedāntādhikaraṇamālā , Vaiyāsikanyāyamālā, Śarīrakādhikaraṇamālā",,85636,Vidyāraṇya,Vedānta (general),88037,Brahmasūtra,,
Work,97118,Adhikaraṇamālāṭīkā,"Adhikaraṇamālā saṭīkā, Adhikaraṇamālā (with ṭīkā)",,85636,Vidyāraṇya,Vedānta (general),97103,Adhikaraṇamālā,,
Work,95553,Adhikaraṇamīmāṃsā,,,87793,Śrīnivāsa,Mīmāṃsā,,,,
Work,92460,Adhikaraṇānukramaṇikā on Bādarāyaṇa's Brahmasūtras,,,86207,Kṛṣṇānanda Sarasvatī,Advaita Vedānta,88037,Brahmasūtra,,
Work,92916,Adhikaraṇanyāyamālā,,,86309,Vaidyanātha Tatsat,,,,,
Work,93523,Adhikaraṇanyāyamālā on Puruṣottama Pītāmbara's Vedāntamālā,,,86499,Gopeśvara,,92427,Vedānta(adhikaraṇa)mālā,,
Work,90163,Adhikaraṇaratnamālā,,,85611,Sukhaprakāśamuni,Advaita Vedānta,,,,
Work,114346,Ādhikaraṇaratnamālā. Adhyāya 10,Jaiminīyanyāyamālāvistara,,40773,Mādhava,Mīmāṃsā,,,,
Work,90149,Adhikaraṇārthasaṃgraha,,,85609,Padmanābha Tīrtha,Dvaita Vedānta,,,,
Work,91322,Adhikaraṇārthasaṃgraha,,,85975,Mahācārya,,,,,
Work,94958,Adhikaraṇārthasaṃgraha on Bādarāyaṇa's Brahmasūtras,,,87273,Gopāla Kṛṣṇācārya,,88037,Brahmasūtra,,
Work,95643,Adhikaraṇārthaślokadīpikā,,,87873,Udayapūjyapāda,Prābhākara Mīmāṃsā + Mīmāṃsā,,,,
Work,95477,Adhikaraṇasādhasrasiddhāntakārikā,,,87724,Śaṃkara Bhaṭṭa,Mīmāṃsā,,,,
Work,91071,Adhikaraṇasaṃgraha,,,85920,Viṭṭhala Nātha Dīkṣita,,,,,
Work,93137,Adhikaraṇasaṃgraha,,,86388,Nirbhayarāma,,,,,
Work,93611,Adhikaraṇasaṃgrahavyākhyā,,,86531,Veṅkaṭeśvara Sūri,,90198,Rahasyatrayasāra,,
Work,94557,Adhikaraṇasaṃkhyāviṣayabodhinī,,,86956,Vedāntadeśika Yatīndramahādeśika,,,,,
Work,92615,Adhikaraṇasaṃkṣepa,,,86256,Śambhu Bhaṭṭa,Bhāṭṭa Mīmāṃsā + Mīmāṃsā,,,,
Work,90170,Adhikaraṇasārāvalī,,,85613,Vedāntadeśika,Viśiṣṭādvaita Vedānta,89485,Śrībhāṣya,,
Work,95393,Adhikaraṇasārāvalī,,,87646,Rāmabhadrācārya,,,,,
Work,89983,Adhikaraṇasārāvalī on Rāmānuja's Vedāntasāra,,,85574,Sudarśana Sūri,,89487,Vedānta(tattva)sāra,,
Work,93028,Adhikaraṇaślokārthadīpikā,,,86341,Udaya Pūjyapāda,Prābhākara Mīmāṃsā + Mīmāṃsā,,,,
Work,95783,Adhikaraṇasūtravṛtti,,,87994,Viṭṭhala Budhākara,Advaita Vedānta,,,,
Work,89818,Adhikārasaṃgati,,,85525,Citsukha,,,,,
Work,90169,Adhikārasaṅgraha,,,85613,Vedāntadeśika,Viśiṣṭādvaita Vedānta,,,,
Work,108221,Adhimāsādinirṇaya,,,,,Jyotiḥśāstra,,,,
Work,105313,Adhimāsanirṇaya,,,,,Jyotiḥśāstra,,,,
Work,92613,Adhiṣṭhānaviveka,,,86255,Prakāśānanda Sarasvatī,Advaita Vedānta,,,,
Work,94701,Adhiṣṭhānavivekādiprakaraṇa,,,87062,Ādiśeṣa Śāstrin,Advaita Vedānta,,,,
Work,113445,Adhivāsanakriyāvidhi,,,,,"Buddhism (general), Dharmaśāstra",,,,
Work,114348,Adhomukhajananaśānti,,,,,Hinduism (general),,,,
Work,94685,Adhunikapraticyopamānamīmāṃṣa,,,87050,Arindam Chakrabarti,,,,,
Work,42427,Adhvaramīmāṃsākutūhalavṛtti,,,40923,Vāsudevadīkṣita,,88036,Mīmāṃsāsūtras,,
Work,88116,Adhyarddhaśataka,,,85100,Mātṛceṭa,,,,,
Work,113157,Adhyātma Rāmayaṇa- Yuddhakāṇḍa,,,113156,Rāmānanda,Purāṇa,,,,
Work,92088,Adhyātmabindu,,,86144,Rāmānanda Tīrtha,Advaita Vedānta,,,,
Work,92487,Adhyātmabindu,,,86219,Yaśovijaya,Jainism (general),,,,
Work,90676,Adhyātmabindu and autocommentary thereon,,,85784,Harṣavardhana Gaṇi,,,,,
Work,93162,Adhyātmacandrikā,,,86395,Advaitānanda Tīrtha,Advaita Vedānta,,,,
Work,93299,Adhyātmacintā,,,86440,Devarāja,,,,,
Work,94754,Adhyātmadarpaṇa on Adhyātma Upaniṣad,,,87109,Appayaśivācārya,,95916,Adhyātmopaniṣad,,
Work,94655,Adhyātmādvaitadarśana,,,87024,Rāmadāsa Nirakari,,,,,
Work,90457,Adhyātmakalpadruma(śāntarasabhāvanā),,,85676,Munisundara Suṛi,,,,,
Work,91551,Adhyaṭmakalpalatā on Munisundara Sūri's Adhyātmakalpadruma,,,86048,Ratnacandra Gaṇi,,"90457, 90457","Adhyātmakalpadruma(śāntarasabhāvanā), Adhyātmakalpadruma(śāntarasabhāvanā)",,
Work,91276,Adhyātmakamalamārtaṇḍa,,,85958,Rājanalla,,,,,
Work,90780,Adhyātmakamalaṭīkā,,,85831,Tāraṇa,,,,,
Work,91833,Adhyātmakārikāvalī,,,86109,Niyamānanda,Dvaita Vedānta,,,,
Work,89663,Adhyātmakhaṇḍadvayavivaraṇa,,,85478,Parāśarabhaṭṭa,Viśiṣṭādvaita Vedānta,,,,
Work,95289,Adhyātmamālā,,,87565,Nemidāsa,Jainism (general),,,,
Work,92519,Adhyātmamataparīkṣā and Vṛtti thereon,,,86219,Yaśovijaya,,,,,
Work,95251,Adhyātmapaddhati,Yogasaṃgrahasāra,,87526,Nandī Guru,Jainism (general),,,,
Work,89430,Adhyātmapadyavṛtti,,,85406,Śubhacandra,Jainism (general),,,,
Work,88626,Adhyātmapaṭala,,,85218,Śaṃkara,,,,,
Work,89845,Adhyātmarahasya,,,85533,Āśādhara,Jainism (general),,,,
Work,97266,Adhyātmarāmāyaṇa,,,,,Vedānta (general),,,,
Work,114349,Adhyātmarāmāyaṇa āraṇyakhaṇḍa,,,,,Kāvya,,,,
Work,114352,Adhyātmarāmāyaṇa ayodhyakāṇḍa,,,,,Kāvya,,,,
Work,114354,Adhyātmarāmāyaṇa kiṣkindhākāṇḍa,,,,,Kāvya,,,,
Work,114355,Adhyātmarāmāyaṇa sundarakāṇḍa,,,,,Kāvya,,,,
Work,114356,Adhyātmarāmāyaṇa uttarakāṇḍa,,,,,Kāvya,,,,
Work,114357,Adhyātmarāmāyaṇa yuddhakāṇḍa,,,,,Kāvya,,,,
Work,41358,Adhyātmarāmāyaṇaprakāśa,,,40416,Bhāskara,,,,,
Work,97299,Adhyātmarāmāyaṇaṭīkā,"Adhyātmarāmāyaṇa saṭīka, Adhyātmarāmāyaṇa with commentary",,97298,Rāmavarman,Vedānta (general),,,,
Work,88758,Adhyātmasandoha,,,85236,Yogīndudeva,Jainism (general),,,,
Work,92488,Adhyātmasāra,,,86219,Yaśovijaya,Jainism (general),,,,
Work,95345,Adhyātmasāraśataka,,,87608,Prabhākaragupta,,,,,
Work,114981,Adhyātmasāraṭīkā,,,,,Buddhism (general),,,,
Work,92091,Adhyātmasarvasva,,,86144,Rāmānanda Tīrtha,Advaita Vedānta,,,,
Work,89191,Adhyātmāṣṭaka,,,85357,Vādirāja Sūri,,,,,
Work,92371,Adhyātmasudhātaraṅgiṇī,Adhyātmakārikāvalī (saṭīkā),,86205,Puruṣottama Pītāmbara,,91833,Adhyātmakārikāvalī,,
Work,94119,Adhyātmasudhātaraṅgiṇī,,,86731,Devīprasāda Śarman,,,,,
Work,94129,Adhyātmasudhātaraṅginī on Puruṣottamaprasāda Vaiṣnava I’s Vedāntakārikā,,,,,,92555,Vedāntakārikāvalī,1914,1914
Work,95536,Adhyātmataraṅgiṇī,,,87777,Somadeva,Jainism (general),,,,
Work,94121,Adhyātmatattvāloka,,,86733,Nyāyavijaya,Jainism (general),,,,
Work,95412,Adhyātmavāsudeva,,,87663,Rāma Maṇi Dāsa,,,,,
Work,97673,Adhyātmavidyā,,,85218,Śaṃkara,Advaita Vedānta,,,,
Work,95806,Ādhyātmikadīpikā on the Bhagavadgītā,,,88013,Yogirāja Śrīśyāmācaraṇa Lāhirī Mahāśaya,,42214,Bhagavadgītā,,
Work,92489,Ādhyātmikamatakhaṇḍana and autocommentary,,,86219,Yaśovijaya,Jainism (general),,,,
Work,95916,Adhyātmopaniṣad,,,,,,,,,
Work,92510,Adhyātmopaniṣatprakaraṇa,,,86219,Yaśovijaya,,,,,
Person,85312,Adhyāyana,,,,,,,,950,950
Work,95181,Adhyayanavidhicarcā,,,87461,Lakṣmīdhara,Mīmāṃsā,,,,
Work,95917,Ādi Granth,,,,,,,,,
Work,114947,Ādikarmapradīpa,,,114945,Anupamavajra,Buddhism (general),,,,
Person,86513,Ādinārāyaṇa Śāstrin,,,,,,,,1850,1850
Person,87060,Ādinātha Mahāyogin,,,,,,,,,
Person,86997,Ādinātha Neminātha Upādhye,,,,,,,,1975,1906
Person,87061,Ādinātha Pārvatīputra,,,,,,,,,
Work,114360,Ādipurāṇa,,,,,Purāṇa,,,,
Person,87062,Ādiśeṣa Śāstrin,,,,,,,,,
Work,89128,Ādiślokadvayavyākhyāna on Asaṅga's Mahāyānasūtrālaṃkāra,,,85341,Parahita,,88236,Mahāyānasūtrālaṃkāra,,
Work,104364,Ādityabhaktāvarṇana,,,,,Vaidyaśāstra,,,,
Person,114946,Ādityācārya,Kauśikāditya,,,,,,,,
Work,108229,Ādityādigrahaphala,,,,,Jyotiḥśāstra,,,,
Work,114361,Ādityahṛdaya,Ārṣarāmāyaṇa,,108861,Vālmīki,Advaita Vedānta,,,,
Work,114364,Ādityahṛdayastotra,,,,,Hinduism (general),,,,
Work,112196,Ādityahṛdayastotra,,,,,Hinduism (general),,,,
Person,87063,Ādityapurin,,,,,,,,,
Work,111558,Ādityastava,,,,,Hinduism (general),,,,
Work,114365,Ādityavrata,,,,,Hinduism (general),,,,
