Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Ṛgveda-Saṃhitā: Padapāṭha text: Maṇḍala 8,,,,248.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rvpp_08u.htm,,,109614,—
GRETIL,Ṛgveda-Saṃhitā: Padapāṭha text: Maṇḍala 9,,,,163.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rvpp_09u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 1,,,,312.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn01u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 10,,,,287.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn10u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 2,,,,72.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn02u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 3,,,,97.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn03u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 4,,,,92.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn04u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 5,,,,111.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn05u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 6,,,,119.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn06u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 7,,,,134.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn07u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 8,,,,218.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn08u.htm,,,109614,—
GRETIL,Ṛgveda: Maṇḍala 9,,,,143.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_hn09u.htm,,,109614,—
